frame,x,y,ball_type,delta_t
,,,1,-3.174076795578003
,,,1,-15.884087324142456
,,,1,-0.3495826721191406
,,,1,-5.474852085113525
,,,1,-15.859243154525757
,,,1,-5.389749526977539
,,,1,-5.667557954788208
,,,1,-30.913039445877075
,,,2,-2.4928526878356934
,,,2,-2.5527641773223877
,,,2,-2.7275402545928955
,,,2,-2.535858154296875
,,,2,-2.8910305500030518
,,,2,-2.6755573749542236
,,,2,-5.36122727394104
,,,2,-0.25495457649230957
,,,2,-4.434428930282593
,,,2,-3.2636358737945557
,,,2,5.938782215118408
,,,2,-2.444840669631958
,,,2,-2.7996926307678223
,,,2,-2.828878402709961
,,,2,-2.8464834690093994
,,,2,-2.566131591796875
,,,2,-2.5818517208099365
,,,2,-2.8155908584594727
,,,2,-2.822816848754883
,,,2,-2.716526508331299
,,,2,-2.5090131759643555
,,,2,-2.514869213104248
,,,2,-2.7746002674102783
,,,2,-2.6170599460601807
,,,2,-2.841999053955078
,,,2,-2.8887131214141846
,,,2,-2.5357561111450195
,,,3,14.046411514282227
,,,3,-1.2652616500854492
,,,2,-2.770327568054199
,,,2,-2.524381399154663
,,,2,-0.3491785526275635
,,,2,2.2688541412353516
,,,2,-2.4997100830078125
